filename,year,level,code,series,set,region,paper_type
30-1 SET-1_2018_(Mathematics).pdf,2018,Standard,30,1,1,All India,Board
30-1-1_2022_Maths Standard.pdf,2022,Standard,30,1,1,All India,Board
30-1-1_2024_(Mathematics Standard).pdf,2024,Standard,30,1,1,All India,Board
30-1-1_2025_Mathematics Standard.pdf,2025,Standard,30,1,1,All India,Board
30-2-1_2022_Maths Standard.pdf,2022,Standard,30,2,1,All India,Board
30-2-1_2024_(Mathematics Standard).pdf,2024,Standard,30,2,1,All India,Board
30-2-1_2025_Mathematics Standard.pdf,2025,Standard,30,2,1,All India,Board
30-3-1_2022_Maths Standard.pdf,2022,Standard,30,3,1,All India,Board
30-3-1_2024_(Mathematics Standard).pdf,2024,Standard,30,3,1,All India,Board
30-3-1_2025_Mathematics Standard.pdf,2025,Standard,30,3,1,All India,Board
30-4-1_2022_Maths Standard.pdf,2022,Standard,30,4,1,All India,Board
30-4-1_2024_(Mathematics Standard).pdf,2024,Standard,30,4,1,All India,Board
30-4-1_2025_Mathematics Standard.pdf,2025,Standard,30,4,1,All India,Board
30-5-1_2024_(Mathematics Standard).pdf,2024,Standard,30,5,1,All India,Board
30-5-1_2025_Mathematics Standard.pdf,2025,Standard,30,5,1,All India,Board
30-6-1_2025_Mathematics Standard.pdf,2025,Standard,30,6,1,All India,Board
30_1_1_2023_Maths Standard.pdf,2023,Standard,30,1,1,All India,Board
30_2_1_2023_Maths Standard.pdf,2023,Standard,30,2,1,All India,Board
30_4_1_2023Maths Standard.pdf,2023,Standard,30,4,1,All India,Board
30_5_1_2023_Maths Standard.pdf,2023,Standard,30,5,1,All India,Board
30_6_1_2023_Maths Standard.pdf,2023,Standard,30,6,1,All India,Board
430-1-1_2022_Maths Basic.pdf,2022,Basic,430,1,1,All India,Board
430-1-1_2024_MATHEMATICS (BASIC).pdf,2024,Basic,430,1,1,All India,Board
430-1-1_2025_Mathematics Basic.pdf,2025,Basic,430,1,1,All India,Board
430-2-1_2022_Maths Basic.pdf,2022,Basic,430,2,1,All India,Board
430-2-1_2024_MATHEMATICS (BASIC).pdf,2024,Basic,430,2,1,All India,Board
430-2-1_2025_Mathematics Basic.pdf,2025,Basic,430,2,1,All India,Board
430-3-1_2022_Maths Basic.pdf,2022,Basic,430,3,1,All India,Board
430-3-1_2024_MATHEMATICS (BASIC).pdf,2024,Basic,430,3,1,All India,Board
430-3-1_2025_Mathematics Basic.pdf,2025,Basic,430,3,1,All India,Board
430-4-1_2022_Maths Basic.pdf,2022,Basic,430,4,1,All India,Board
430-4-1_2024_MATHEMATICS (BASIC).pdf,2024,Basic,430,4,1,All India,Board
430-4-1_2025_Mathematics Basic.pdf,2025,Basic,430,4,1,All India,Board
430-5-1_2024_MATHEMATICS (BASIC).pdf,2024,Basic,430,5,1,All India,Board
430-5-1_2025_Mathematics Basic.pdf,2025,Basic,430,5,1,All India,Board
430-6-1_2025_Mathematics Basic.pdf,2025,Basic,430,6,1,All India,Board
430_1_1_2023_Maths Basic.pdf,2023,Basic,430,1,1,All India,Board
430_2_1_2023_Maths Basic.pdf,2023,Basic,430,2,1,All India,Board
430_4_1_2023_Maths Basic.pdf,2023,Basic,430,4,1,All India,Board
430_5_1_2023_Maths Basic.pdf,2023,Basic,430,5,1,All India,Board
430_6_1_2023_Maths Basic.pdf,2023,Basic,430,6,1,All India,Board
Maths_SQP 2017-18.pdf,2017,Sample,30,NA,NA,All India,Sample
SQP Maths set -II class X 2015-16 .pdf,2015,Sample,30,NA,NA,All India,Sample
SQP-Mathametics-Class-X 2016-17.pdf,2016,Sample,30,NA,NA,All India,Sample
